,Ano,Mes,Numero indice,Variacao no Mes,Variacao 3 meses,Variacao 6 meses,Variacao no ano,Variacao 12 meses
7,1994,JAN,141.31,41.31,162.13,533.33,41.31,2693.84
8,1994,FEV,198.22,40.27,171.24,568.17,98.22,3035.71
9,1994,MAR,282.96,42.75,182.96,602.93,182.96,3417.39
10,1994,ABR,403.73,42.68,185.71,648.92,303.73,3828.49
11,1994,MAI,581.49,44.03,193.36,695.71,481.49,4331.19
12,1994,JUN,857.29,47.43,202.97,757.29,757.29,4922.6
13,1994,JUL,915.93,6.84,126.87,548.17,815.93,4005.08
14,1994,AGO,932.97,1.86,60.44,370.67,832.97,3044.89
15,1994,SET,947.24,1.53,10.49,234.76,847.24,2253.15
16,1994,OUT,972.06,2.62,6.13,140.77,872.06,1703.17
17,1994,NOV,999.37,2.81,7.12,71.86,899.37,1267.54
18,1994,DEZ,1016.46,1.71,7.31,18.57,916.46,916.46
20,1995,JAN,1033.74,1.7,6.35,12.86,1.7,631.54
21,1995,FEV,1044.28,1.02,4.49,11.93,2.74,426.83
22,1995,MAR,1060.47,1.55,4.33,11.95,4.33,274.78
23,1995,ABR,1086.24,2.43,5.08,11.75,6.87,169.05
24,1995,MAI,1115.24,2.67,6.8,11.59,9.72,91.79
25,1995,JUN,1140.44,2.26,7.54,12.2,12.2,33.03
26,1995,JUL,1167.35,2.36,7.47,12.92,14.84,27.45
27,1995,AGO,1178.91,0.99,5.71,12.89,15.98,26.36
28,1995,SET,1190.58,0.99,4.4,12.27,17.13,25.69
29,1995,OUT,1207.37,1.41,3.43,11.15,18.78,24.21
30,1995,NOV,1225.12,1.47,3.92,9.85,20.53,22.59
31,1995,DEZ,1244.23,1.56,4.51,9.1,22.41,22.41
33,1996,JAN,1260.9,1.34,4.43,8.01,1.34,21.97
34,1996,FEV,1273.89,1.03,3.98,8.06,2.38,21.99
35,1996,MAR,1278.35,0.35,2.74,7.37,2.74,20.55
36,1996,ABR,1294.46,1.26,2.66,7.21,4.04,19.17
37,1996,MAI,1310.25,1.22,2.85,6.95,5.31,17.49
38,1996,JUN,1325.84,1.19,3.71,6.56,6.56,16.26
39,1996,JUL,1340.56,1.11,3.56,6.32,7.74,14.84
40,1996,AGO,1346.46,0.44,2.76,5.7,8.22,14.21
41,1996,SET,1348.48,0.15,1.71,5.49,8.38,13.26
42,1996,OUT,1352.53,0.3,0.89,4.49,8.7,12.02
43,1996,NOV,1356.86,0.32,0.77,3.56,9.05,10.75
44,1996,DEZ,1363.24,0.47,1.09,2.82,9.56,9.56
46,1997,JAN,1379.33,1.18,1.98,2.89,1.18,9.39
47,1997,FEV,1386.23,0.5,2.16,2.95,1.69,8.82
48,1997,MAR,1393.3,0.51,2.21,3.32,2.21,8.99
49,1997,ABR,1405.56,0.88,1.9,3.92,3.1,8.58
50,1997,MAI,1411.32,0.41,1.81,4.01,3.53,7.71
51,1997,JUN,1418.94,0.54,1.84,4.09,4.09,7.02
52,1997,JUL,1422.06,0.22,1.17,3.1,4.31,6.08
53,1997,AGO,1421.78,-0.02,0.74,2.56,4.29,5.59
54,1997,SET,1422.63,0.06,0.26,2.11,4.36,5.5
55,1997,OUT,1425.9,0.23,0.27,1.45,4.6,5.42
56,1997,NOV,1428.32,0.17,0.46,1.2,4.77,5.27
57,1997,DEZ,1434.46,0.43,0.83,1.09,5.22,5.22
59,1998,JAN,1444.64,0.71,1.31,1.59,0.71,4.73
60,1998,FEV,1451.29,0.46,1.61,2.08,1.17,4.69
61,1998,MAR,1456.22,0.34,1.52,2.36,1.52,4.52
62,1998,ABR,1459.71,0.24,1.04,2.37,1.76,3.85
63,1998,MAI,1467.01,0.5,1.08,2.71,2.27,3.95
64,1998,JUN,1467.3,0.02,0.76,2.29,2.29,3.41
65,1998,JUL,1465.54,-0.12,0.4,1.45,2.17,3.06
66,1998,AGO,1458.07,-0.51,-0.61,0.47,1.65,2.55
